LOCAL ID,COUNTY,MUNICIPALITY,ON,FROM,TO,APPROACH,DIRECTION,AADT YEAR,AADT,AADT CARS,AADT TRUCKS,LOCATION
530005,Erie,Cheektowaga,GENESEE ST,HOLTZ RD,RT 78 TRANSIT RD,BETWEEN,2-WAY,1980,24000,,,"(42.937009, -78.709627)"
534490,Erie,"TONAWANDA, BUFFALO",KENMORE AVE,RT 384 DELAWARE AV,COLVIN BLVD,,2-WAY,1983,15300,,,"(42.958687810851, -78.8646832108498)"
536443,Erie,Lackawanna,RIDGE RD,RT 5 HAMBURG TURNPIKE,S Park Ave,,2-WAY,1984,14100,,,"(42.8269402984753, -78.8417986035347)"
536400,Erie,Buffalo,I-190 @ Church St,,,AT,RAMP,2013,8688,,,"(42.884903, -78.884153)"
530926,Erie,Cheektowaga,GENESEE ST,BUFFALO CITY LN,RT 240 HARLEM RD,,2-WAY,1985,12600,,,"(42.9201978003155, -78.7922286987305)"
531014,Erie,Amherst,N FOREST RD,RT 324 SHERIDAN DR,CATHERINE ST,,2-WAY,1999,15900,,,"(42.9820882454141, -78.7652403116226)"
534015,Erie,Buffalo,ALLEN ST,ELMWOOD AV,RT 384 DELAWARE AV,,2-WAY,1980,9100,,,"(42.8994367501741, -78.8754951953888)"
530956NB,Erie,Buffalo,Elm St,Broadway,Kensington Expwy,,1-WAY,2011,14785,,,"(42.888967134722, -78.8681271672249)"
540421,Niagara,Royalton,S MAIN ST,RT 31 ROCHESTER RD/START OLAP RT 271 MAIN ST,END OLAP RT 271 MAIN ST,,2-WAY,1979,3000,,,"(43.2089978795841, -78.4765219688416)"
542200,Niagara,Niagara Falls,CUDABACK AV,PORTAGE RD,27TH ST,,1-WAY,2010,160,,,"(43.0858, -79.03032)"
536145,Erie,Amherst,YOUNGS RD,KLEIN RD,CASEY RD,,2-WAY,2014,5546,,,"(43.0133633936556, -78.72514128685)"
534359,Erie,Cheektowaga,GALLERIA DR,RT 277 UNION RD,EAST DR,,2-WAY,1996,15400,,,"(42.9160257207776, -78.7562602758408)"
534629,Erie,Amherst,N FRENCH RD,HOPKINS RD,DODGE RD,,2-WAY,2000,6900,,,"(43.0345114741867, -78.7315034866333)"
534804,Erie,Buffalo,STEVENSON ST,N LEGION DR,RT 16 SENECA ST,,2-WAY,2010,3963,3821,141,"(42.857712, -78.814822)"
544182,Niagara,North Tonawanda,PAYNE AVE,WHEATFIELD ST,WALCK DR,,2-WAY,2001,6800,,,"(43.0401536526524, -78.8736444711685)"
540058EB,Niagara,Niagara Falls,Ferry Ave,Hyde Park Blvd,Portage Rd,,1-WAY,2011,8600,,,"(43.0915180974708, -79.0334129333496)"
530193,Erie,Orchard Park,BIG TREE RD,ABBOTT RD,CALIFORNIA RD,BETWEEN,2-WAY,1976,6900,,,"(42.7663161795286, -78.7847372889519)"
534121,Erie,Elma,BULLIS RD,RT 20 TRANSIT RD,POUND RD,,2-WAY,1982,5600,,,"(42.8390548480365, -78.6882448196411)"
530281,Erie,Amherst,GROVER CLEVELAND HWY,RT 62 BAILEY AV,EGGERT RD,BETWEEN,2-WAY,1981,11900,,,"(42.9681004747774, -78.8093291223049)"
534900,Erie,Buffalo,WILLIAM L GAITER PKWY,WARWICK AV,KENSINGTON AV,,2-WAY,2016,4844,4524,319,"(42.9321153488268, -78.8223445415497)"
534183,Erie,Clarence,COUNTY RD,STAHLEY RD,CONNER RD,,2-WAY,2003,8200,,,"(43.032996, -78.67404)"
530932,Erie,Cheektowaga,WALDEN AVE,RT 240 HARLEM RD,I-90 NYS THRUWAY,,2-WAY,1977,34100,,,"(42.908066, -78.77429)"
542204,Niagara,Niagara Falls,EDISON AV,68th St,76th St,,2-WAY,2015,292,279,12,"(43.0774538590777, -78.9801442623138)"
530111,Erie,Hamburg,S WESTERN BLVD,RT 62 SOUTH PARK AV,RT 20A BIG TREE RD,BETWEEN,2-WAY,2014,23421,,,"(42.7677378446759, -78.8161969184875)"
530145,Erie,Buffalo,SCAJAQUADA EXPWY,PARKSIDE AVE,RT 5 MAIN ST,BETWEEN,2-WAY,2011,57119,,,"(42.928824, -78.852525)"
536365,Erie,Amherst,Service Center Rd,SPRAGUE RD,JJ AUDUBON PKWY,,2-WAY,2010,1020,,,"(42.996335, -78.796629)"
544184,Niagara,North Tonawanda,PAYNE AVE,MEADOW DR,RT 429 WARD RD,,2-WAY,2014,6284,6144,139,"(43.057425, -78.882976)"
530938,Erie,Marilla,TWO ROD RD,JAMISON RD,RT 354 CLINTON ST,,2-WAY,2006,2500,,,"(42.8449647218061, -78.5554459691048)"
530982,Erie,Buffalo,BROADWAY,OAK ST,ELM ST,,2-WAY,2008,6800,,,"(42.886365, -78.869648)"
530085,Erie,Cheektowaga,KENSINGTON EXPWY,I-90,RT 277 UNION RD,BETWEEN,2-WAY,1980,54200,,,"(42.930442, -78.7606)"
534366,Erie,Concord,GENESEE RD,BOSTON-SPRINGVILLE RD,SHARP ST,,2-WAY,2004,2800,,,"(42.5526910448352, -78.6696437001228)"
530256,Erie,Amherst,BAILEY AVE,RT 5 MAIN ST,RT 263 MILLERSPORT HWY,BETWEEN,2-WAY,2010,16885,,,"(42.9613887871982, -78.8138955831528)"
534006,Erie,Lackawanna,ABBOTT RD,WILLET RD (LACK CITY LN),MARTIN RD,,2-WAY,2006,14000,,,"(42.806779525976, -78.7980034947395)"
537074,Erie,Tonawanda,KENMORE AVE,RT 325 SHERIDAN DR,VULCAN ST,,2-WAY,2012,5708,5002,705,"(42.9697461445413, -78.9032185077667)"
536114,Erie,Buffalo,WASHINGTON ST,SCOTT ST,SENECA ST,,2-WAY,1978,3900,,,"(42.8784642935866, -78.8756346702576)"
540486,Niagara,Cambria,SHAWNEE RD,RT 31 SAUNDERS SETTLEMENT RD,UPPER MT RD,,2-WAY,1999,3000,,,"(43.15607378012, -78.8410046696663)"
534371,Erie,Buffalo,GENESEE ST,OAK,ELM,,2-WAY,2006,6100,,,"(42.8902405612706, -78.8685590028763)"
534259,Erie,Evans,EDEN-EVANS CENTER RD,VERSAILLES PLANK RD (E),EVANS/EDEN TN LINE,,2-WAY,2014,4481,,,"(42.65248, -78.94925)"
530233,Erie,Aurora,OLEAN RD,START OLAP RT 400 EXPWY,END OLAP RT 400 EWPWY {conflicts w/other 1090},BETWEEN,2-WAY,2001,10600,,,"(42.728258, -78.594915)"
544197,Niagara,Niagara Falls,PORTAGE RD,11TH ST,RT 104 MAIN ST,,2-WAY,2015,4509,4412,96,"(43.1004482261765, -79.0513917803764)"
534823,Erie,Amherst,SWEET HOME RD,N FRENCH RD,TONAWANDA CREEK RD,BETWEEN,2-WAY,2006,9700,,,"(43.038965, -78.799613)"
536375,Erie,Brant,HARDPAN RD,NY249,EVANS TL,,2-WAY,2016,220,203,16,"(42.603369, -79.032101)"
531126,Erie,Cheektowaga,DICK RD,RT 130 BROADWAY,WALDEN AV,,2-WAY,1994,22800,,,"(42.906808430841, -78.7284564971924)"
534847,Erie,Buffalo,UTICA ST (EAST),WOHLERS AV,HUMBOLDT PKWY SB,,2-WAY,1986,4400,,,"(42.911026, -78.845819)"
530375,Erie,Orchard Park,ORCHARD PK RD,MILESTRIP RD,RT 20 SOUTHWESTERN BLVD,BETWEEN,2-WAY,2003,16000,,,"(42.793149, -78.751679)"
534500,Erie,Amherst,KLEIN RD,N FOREST RD,HOPKINS RD,,2-WAY,2000,9300,,,"(43.0021000735841, -78.7556111812592)"
530404,Erie,Buffalo,NIAGARA ST,ONTARIO ST,VULCAN ST,BETWEEN,2-WAY,2007,5700,,,"(42.951868, -78.908942)"
536335,Erie,Amherst,SWEET HOME RD,N ELLICOTT CREEK RD,COMMERCE DR,,2-WAY,1977,6400,,,"(43.023754, -78.798899)"
543029,Niagara,Lewiston,I-190 @ Lewiston,,,,RAMP,2010,1025,,,"(43.15099, -79.033256)"
530137,Erie,Buffalo,SOUTH PARK AVE,TIFFT ST,SOUTHSIDE PKWY,BETWEEN,2-WAY,1998,13100,,,"(42.848937, -78.823691)"
534194,Erie,Clarence,COUNTY RD,HEISE RD,GOODRICH RD,,2-WAY,1979,2900,,,"(43.0321411339795, -78.6455869674683)"
536427,Erie,Elma,GIRDLE RD,WEST BLOOD RD,JAMISON RD,,2-WAY,2009,3047,2934,112,"(42.794093, -78.606159)"
530127,Erie,West Seneca,AURORA EXPWY,RT 20/78 TRANSIT RD,RT 277 UNION RD,BETWEEN,2-WAY,2006,31142,,,"(42.8406872490461, -78.7250661849976)"
540621,Niagara,Niagara,PORTER RD,NIAGARA FALLS E CITY LN,I-190,,2-WAY,1981,9450,,,"(43.107441392798, -78.9966344833374)"
540316,Niagara,Lockport,TRANSIT ST,LINCOLN DR,RT 31 WEST AV,,2-WAY,1982,13100,,,"(43.1590086895977, -78.696868121624)"
530405,Erie,Tonawanda,RIVER RD,VULCAN ST,RT 325 SHERIDAN DR,BETWEEN,2-WAY,2005,8800,,,"(42.961597, -78.918596)"
530216,Erie,West Seneca,UNION RD,CAZENOVIA CREEK BRIDGE,SENECA ST,BETWEEN,2-WAY,1998,25100,,,"(42.8279415746792, -78.7534332275391)"
544142,Niagara,North Tonawanda,NASH RD,WALCK RD,MEADOW DR,,2-WAY,2005,13600,,,"(43.0489197609022, -78.8654878735542)"
541001,Niagara,Niagara Falls,NIAGARA ST,5TH ST,QUAY ST,,2-WAY,2008,10100,,,"(43.0885241221134, -79.0547981858253)"
534236,Erie,Buffalo,DORRANCE AVE,RT 62 SOUTH PARK AV,MCKINLEY PKWY,,2-WAY,2001,2300,,,"(42.832021, -78.819244)"
536201,Erie,Lancaster,PAVEMENT RD,WALDEN AV,RT 33 GENESEE ST,,2-WAY,1981,3900,,,"(42.9374331152011, -78.6227720975876)"
534294,Erie,Buffalo,ELMWOOD AVE,W FERRY ST,W DELAVAN AV,,2-WAY,1983,20800,,,"(42.9197185362368, -78.8770186901093)"
530066,Erie,Elma,CLINTON ST,RT 78 TRANSIT RD,AURORA ST,BETWEEN,2-WAY,1995,8050,,,"(42.859419, -78.685627)"
534014,Erie,Buffalo,ALLEN ST,WADSWORTH ST,ELMWOOD AV,,2-WAY,2015,6121,5838,282,"(42.8994662229338, -78.8785099983215)"
536448,Erie,Buffalo,ELK ST,SMITH ST,LEE ST,,2-WAY,2009,2025,,,"(42.8680382985318, -78.8435125350952)"
540113,Niagara,Niagara Falls,WHIRLPOOL BRIDGE,USA,CANADA,,2-WAY,1980,5747,5429,318,"(43.1092315021741, -79.0581963558197)"
536462,Erie,Hamburg,Pleasant Ave,ROGERS RD,PLEASANT AVE,BETWEEN,2-WAY,2004,2900,,,"(42.7334, -78.86372)"
536272,Erie,East Aurora,MAPLE ST,RT 20A MAIN ST,E AURORA VILL LN,,2-WAY,1983,6100,,,"(42.7704786914816, -78.6209964752197)"
534232,Erie,Amherst,DODGE RD,SWEET HOME RD,RT 270 CAMPBELL BLVD,,2-WAY,2012,5326,5223,102,"(43.0240785472577, -78.7783911824226)"
540085,Niagara,North Tonawanda,OLIVER ST,WHEATFIELD ST,LINWOOD AV,,2-WAY,1982,6150,,,"(43.0431176469463, -78.8820746541023)"
530447,Erie,ORCHARD PARK/WEST SENECA,S WESTERN BLVD,MICHAEL RD,RT 187 TRANSIT RD,BETWEEN,2-WAY,1996,9500,,,"(42.8112561117308, -78.7202140688896)"
540044,Niagara,Wheatfield,RIVER RD,WHEATFIELD/N TONAWANDA TN LN,WILLIAMS RD,,2-WAY,1979,8600,,,"(43.0685037221936, -78.9289677143097)"
534071,Erie,Buffalo,BERKSHIRE AVE,PARKRIDGE AV,RT 62 BAILEY AV,,1-WAY,2010,1741,1648,92,"(42.9409125867435, -78.8160145282745)"
540066,Niagara,Lewiston,RIDGE RD,RT 18 CREEK RD,MODEL CITY RD,,2-WAY,1981,4200,,,"(43.1751736004599, -78.9977771043777)"
534820,Erie,Buffalo,SWAN ST,WASHINGTON ST,ELLICOTT ST,,2-WAY,2002,7500,,,"(42.881569, -78.873956)"
530437,Erie,Amherst,SHERIDAN DR,SWEET HOME RD,RT 263 MILLERSPORT HWY,BETWEEN,2-WAY,2001,30000,,,"(42.9796820318691, -78.8034027814865)"
544024,Niagara,Pendleton,BEAR RIDGE RD,FEIGLE RD,LOCKPORT RD,BETWEEN,2-WAY,1983,3700,,,"(43.1243756062636, -78.7319299578667)"
530383,Erie,Lancaster,GENESEE ST,HARRIS HILL RD,GUNNVILLE RD,BETWEEN,2-WAY,1990,8600,,,"(42.945687703869, -78.6531937122345)"
530168,Erie,Cheektowaga,GENESEE ST,AIRPORT W ENT,AIRPORT E ENT,BETWEEN,2-WAY,1982,38300,,,"(42.931466, -78.731989)"
540043,Niagara,Lewiston,Ridge Rd,ROBERT MOSES PKWY,RT 18 CREEK RD,,2-WAY,2018,6273,5884,388,"(43.1731967270698, -79.0224487754631)"
530930,Erie,Orchard Park,ARMOR DUELLS RD,RT 219 EXPWY NB,RT 277 CHESTNUT RIDGE RD,,2-WAY,2004,14700,,,"(42.7489739647271, -78.7536531686783)"
534577,Erie,Hamburg,MCKINLEY PKWY,LAKE AV,WILLET RD,BETWEEN,2-WAY,1998,8400,,,"(42.802133, -78.810848)"
530113,Erie,Orchard Park,S WESTERN BLVD,RTS 240/277 N BUFFALO ST,MICHAEL RD,BETWEEN,2-WAY,1980,9950,,,"(42.8007479212487, -78.7437182664871)"
536121,Erie,Buffalo,MICHIGAN AVE,SCOTT ST,CARROLL ST,,2-WAY,1982,5500,,,"(42.877232, -78.870386)"
534458,Erie,Buffalo,HURON ST (WEST),FRANKLIN ST,PEARL ST,,2-WAY,1978,5500,,,"(42.8889278310151, -78.8750982284546)"
534852,Erie,Buffalo,UTICA ST (WEST),RT 384 DELAWARE AV,LINWOOD AV,,2-WAY,2012,4869,4642,226,"(42.911282, -78.868867)"
530151,Erie,Buffalo,KENSINGTON EXPWY,BEST ST,EAST UTICA ST,BETWEEN,2-WAY,2010,70392,,,"(42.907516, -78.843877)"
540054,Niagara,Niagara Falls,BUFFALO AVE,PORTAGE RD,RAINBOW BLVD,,2-WAY,2001,3100,,,"(43.0827551406664, -79.0443348884583)"
M4166,Erie,Lancaster,NYS THRUWAY,Pembroke/Medina/NY 77 (Exit 48A),Depew/Lockport/NY 78 (Exit 49),BETWEEN,2-WAY,2004,44200,,,"(42.94914, -78.69031)"
534978,Erie,Buffalo,ELLICOTT ST,GOODELL ST,HIGH ST,BETWEEN,2-WAY,2018,4873,4563,309,"(42.8961710811438, -78.8685938715935)"
537033,Erie,Hamburg,BIG TREE RD,BAYVIEW RD,RT 62 SOUTH PARK AV,,2-WAY,2008,7200,,,"(42.771971, -78.830183)"
530184,Erie,Amherst,MILLERSPORT HWY,DODGE RD,N FRENCH RD,BETWEEN,2-WAY,1986,5300,,,"(43.0280001711347, -78.7551069259644)"
533143,Erie,Orchard Park,US 219 @ Armor Duells Rd,,,,RAMP,2014,6109,,,"(42.7469767185454, -78.7621450424194)"
530934,Erie,Cheektowaga,WALDEN AVE,DICK RD,RT 78 TRANSIT RD,,2-WAY,1996,22550,,,"(42.909323, -78.713114)"
534863,Erie,"TONAWANDA, BUFFALO",VULCAN ST,TONAWANDA ST,KENMORE AV,,2-WAY,1990,7200,,,"(42.9642270400958, -78.9017808437347)"
534269,Erie,Amherst,EGGERT RD,RT 62 BAILEY AV,NF BLVD,,2-WAY,1996,10600,,,"(42.9783633574693, -78.8183131814003)"
540455,Niagara,North Tonawanda,RT 425 TWIN CITIES HIGHWAY,ROBINSON ST,ERIE AV,,2-WAY,1986,12200,,,"(43.0374012440212, -78.8634493947029)"
530382,Erie,East Aurora,Quaker Rd,JEWETT-HOLMWOOD RD,BUFFALO RD,BETWEEN,2-WAY,1978,5600,,,"(42.763709, -78.634667)"
530119,Erie,Buffalo,MAIN ST,RT 198 SCAJAQUADA EXP,JEWETT PKWY,BETWEEN,2-WAY,1985,21200,,,"(42.9327830404182, -78.8460552692413)"
536093,Erie,Buffalo,SOUTH PARK AVE,HOPKINS ST,SMITH ST,,2-WAY,2007,6300,,,"(42.85881, -78.83418)"
534020,Erie,Buffalo,AMHERST ST,W TONAWANDA ST,E TONAWANDA ST,,2-WAY,1983,7400,,,"(42.9359407308137, -78.8977360725403)"
544143,Niagara,North Tonawanda,NASH RD,RUIE RD,N TONAWANDA CITY LN,,2-WAY,2005,7800,,,"(43.0656977184153, -78.8659062981606)"
534465,Erie,Elma,JAMISON RD,RT 16 SENECA ST,RT 400 EXPWY,,2-WAY,1979,2500,,,"(42.805137, -78.651689)"
536333,Erie,Alden,ALD-CRITTEN RD,NORTH RD,RT 33 GENESEE ST,,2-WAY,2011,2575,,,"(42.9336146990858, -78.4939858317375)"
530924,Erie,Buffalo,CAROLINA RAMPS,I-190,RT 266 NIAGARA ST,,2-WAY,1988,15100,,,"(42.892158512131, -78.8856634497643)"
532058,Erie,Clarence,HARRIS HILL RD,GREINER RD,ROLL RD,,2-WAY,2004,6900,,,"(42.9965103072512, -78.6770224571228)"
530050,Erie,West Seneca,CENTER ST(RT 16),SENECA ST,RT 277 UNION RD,BETWEEN,2-WAY,1999,7900,,,"(42.839566, -78.76133)"
540906,Niagara,Porter,ROBT MOSES PKWY,FOURMILE CREEK ST PARK,RT 18 LAKE RD,,2-WAY,1997,950,,,"(43.2718994138213, -78.9967739582062)"
534960,Erie,Evans,N MAIN ST,LAKE ST,BEACH RD,,2-WAY,2006,3100,,,"(42.647275, -79.031683)"
544054,Niagara,North Tonawanda,E ROBINSON ST,RT 425 TWIN CITIES HWY,ZIMMERMAN ST,,2-WAY,1990,7500,,,"(43.0357485632778, -78.8577470183373)"
534137,Erie,Amherst,CAYUGA RD,CALIFORNIA DR,RT 5 MAIN ST,,2-WAY,2007,6300,,,"(42.958901, -78.745565)"
530376,Erie,Orchard Park,ORCHARD PK RD,RT 20 SOUTHWESTERN BLVD,END OLAP RT 277 UNION RD,BETWEEN,2-WAY,1989,21300,,,"(42.798132, -78.751631)"
540324,Niagara,Lockport,CLINTON ST,GOODING ST,MILL ST,,2-WAY,2014,6213,,,"(43.1772313215808, -78.6882662773132)"
540070,Niagara,Niagara Falls,LOCKPORT ST,CLEVELAND AV,RT 182 ONTARIO AV,,2-WAY,1988,4300,,,"(43.1079622743889, -79.0436348319054)"
540272,Niagara,"NEWFANE, LOCKPORT",RIDGE RD,COOMER RD,START OLAP RT 78 LOCKPORT-OLCOTT RD,,2-WAY,1997,6450,,,"(43.2192898642195, -78.706601858139)"
530560,Erie,Grand Island,NIAGARA THRUWAY,WHITEHAVEN (N19),LONG RD (N20),BETWEEN,2-WAY,2006,47200,,,"(43.0352466727702, -78.9835667610168)"
534432,Erie,Buffalo,HERTEL AVE,COLVIN AV,PARKSIDE AV,,2-WAY,2012,13680,13314,365,"(42.9476824621943, -78.8550567626953)"
532065,Erie,Buffalo,JEFFERSON AVE,EAST DELAVAN ST,MAIN ST,,2-WAY,2005,7600,,,"(42.92335, -78.853972)"
540486,Niagara,Cambria,SHAWNEE RD,RT 31 SAUNDERS SETTLEMENT RD,UPPER MT RD,,2-WAY,1978,1650,,,"(43.15607378012, -78.8410046696663)"
534895,Erie,Grand Island,WHITEHAVEN RD,BASE LINE RD,RT 324 GRAND ISLAND BLVD,BETWEEN,2-WAY,2006,5600,,,"(43.0217156479278, -78.964319229126)"
536436,Erie,Lancaster,RANSOM RD,RT 20 BROADWAY,WALDEN AV,BETWEEN,2-WAY,1992,2300,,,"(42.9072249280661, -78.5929942131042)"
534298,Erie,Tonawanda,ELMWOOD AVE,KENMORE AV,KENMORE VILL LN,,2-WAY,2002,13500,,,"(42.9631082423474, -78.8787272572517)"
530945,Erie,Cheektowaga,WALDEN AVE,BUFFALO CITY LN,RT 240 HARLEM RD,,2-WAY,1992,16900,,,"(42.9072602909085, -78.7918370962143)"
540125,Niagara,Cambria,SAUNDERS SETTLEMENT RD,END OLAP RT 429 TOWN LINE RD,RT 425 SHAWNEE RD,,2-WAY,1976,5650,,,"(43.1432524428869, -78.8542065024376)"
546146,Niagara,Lockport,Mill St,Market St,Clinton St,,2-WAY,2012,2505,2421,83,"(43.1771452585888, -78.6861298978329)"
533226,Erie,Amherst,NY 263 Millersport Hwy / Campus,,,,RAMP,2009,735,,,"(42.99494, -78.78716)"
540567,Niagara,Niagara Falls,NIAGARA THRUWAY,RT 62 NF BLVD,RT 182 PORTER AV,,2-WAY,2008,34800,,,"(43.103188, -78.982531)"
541106,Niagara,North Tonawanda,NASH RD,MEADOW DR,RUIE RD,,2-WAY,1996,11500,,,"(43.0593386660902, -78.8657748699188)"
537013,Erie,Orchard Park,JEWETT-HOLMWOOD,S FREEMAN RD,FREEMAN RD,,2-WAY,1993,6600,,,"(42.7508450935899, -78.730916082859)"
530232,Erie,Elma,AURORA EXPWY,RT 20A/78 BIG TREE RD,MAPLE ST,BETWEEN,2-WAY,1979,9150,,,"(42.784567, -78.595676)"
535254,Erie,Cheektowaga,Lee St,Rehm Rd,Transit Rd,,2-WAY,2014,388,,,"(42.925784, -78.70252)"
540089,Niagara,Porter,CREEK RD,RT 93 YOUNGSTOWN-LOCKPORT RD,RT 18F LAKE RD,,2-WAY,1989,1100,,,"(43.2629747974989, -79.0089337527752)"
539809,Erie,Tonawanda,Deerhurst Park Blvd,Colvin Blvd,Irving Ter,,2-WAY,2015,1414,1347,66,"(42.968869, -78.854814)"
530395,Erie,Tonawanda,SEYMOUR ST,FLETCHER ST,NIAGARA ST,BETWEEN,2-WAY,1977,10300,,,"(43.0187663082262, -78.8799878954887)"
531207,Erie,"ELMA, LANCASTER",HALL RD,BOWEN RD,SCHWARTZ RD,,2-WAY,2009,325,,,"(42.8646648053852, -78.6227238178253)"
530084,Erie,Cheektowaga,KENSINGTON EXPWY,RT 240 HARLEM RD,I-90,BETWEEN,2-WAY,1977,68800,,,"(42.932987, -78.776307)"
531104,Erie,Amherst/Buffalo,KENMORE AVE,NF BLVD,RT 5 MAIN ST,,2-WAY,1996,12600,,,"(42.958094993489, -78.8227120041847)"
534832,Erie,Amherst,TONAWANDA CREEK RD,RT 62 NF BLVD,SWEET HOME RD,,2-WAY,1991,4100,,,"(43.0447431762682, -78.8216485083103)"
530125,Erie,Elma,AURORA EXPWY,MAPLE ST,JAMISON RD,BETWEEN,2-WAY,1988,14100,,,"(42.798793, -78.636062)"
546001,Niagara,Cambria,UPPER MTN RD,RT 429 WARD RD,RT 425 SHAWNEE RD,,2-WAY,2014,1708,1643,64,"(43.1655275974935, -78.8565400242805)"
534835,Erie,Amherst,TONAWANDA CREEK RD,NEW RD,Tim Hortons Dwy,BETWEEN,2-WAY,1997,400,,,"(43.0832028203118, -78.705422682209)"
534002,Erie,Orchard Park,ABBOTT RD,RT 20 SOUTHWESTERN BLVD,WEBSTER CORNERS RD,,2-WAY,2006,11100,,,"(42.7797793392253, -78.7896484136581)"
534840,Erie,Tonawanda,TWO MILE CK RD,KENMORE AV,RT 324 GRAND ISLAND BLVD,,2-WAY,1978,7900,,,"(42.9782711276957, -78.9092373847961)"
534169,Erie,Orchard Park,COLE RD,WARD RD,RT 240 ELLICOTT RD,,2-WAY,2004,1300,,,"(42.7116459505125, -78.7180870771408)"
543036,Niagara,Niagara Falls,NY 104 / RMSP,,,,RAMP,2009,581,,,"(43.09042, -79.06163)"
540046,Niagara,Lewiston,MILITARY RD,RT 31 WITMER RD,I-190,,2-WAY,1997,6900,,,"(43.1355626556758, -79.0166035294533)"
534660,Erie,Buffalo,OHIO ST,CHICAGO ST,MICHIGAN AV,,2-WAY,2008,2600,,,"(42.8702124918656, -78.8697552680969)"
544117,Niagara,Lockport,LOCUST ST,BEATTIE AV,HAMM RD,,2-WAY,2008,3150,,,"(43.137791991064, -78.6864048242569)"
544014,Niagara,Niagara Falls,56TH ST,RT 384 BUFFALO AV,FRONTIER AV,,2-WAY,2012,3687,3345,341,"(43.0810547056311, -79.0000569820404)"
530030,Erie,Newstead,MAIN ST,CLARENCE/NEWSTEAD TN LN,RT 93 BUELL RD,BETWEEN,2-WAY,2001,11600,,,"(42.9956333965531, -78.5392051935196)"
530557,Erie,Tonawanda,NIAGARA THRUWAY,BUFFALO N CITY LN,RT 324 SHERIDAN DR (N15),BETWEEN,2-WAY,1988,36100,,,"(42.959893, -78.917542)"
534276,Erie,Buffalo,ELK ST,SOUTH PARK AV,SMITH ST,,2-WAY,2016,1904,1758,145,"(42.8688560872884, -78.8481259346008)"
534398,Erie,Buffalo,GRANT ST,FOREST AV,LETCHWORTH ST,,2-WAY,1998,11600,,,"(42.92917, -78.889217)"
530249,Erie,Brant,S WESTERN BLVD,END OLAP RT 5,RT 438 FLAT RD,BETWEEN,2-WAY,2006,6900,,,"(42.569705, -79.102032)"
530115,Erie,ELMA/WEST SENECA,TRANSIT RD,RT 16 SENECA ST,RT 400 EXPWY,BETWEEN,2-WAY,1991,20400,,,"(42.830786, -78.696957)"
534753,Erie,Buffalo,SOUTH PARK AVE,RT 62 BAILEY AV/ABBOTT RD,HOPKINS ST,,2-WAY,1987,9500,,,"(42.857597, -78.830699)"
